@relation dades

@attribute gestures_2 {beat,no_gesture}
@attribute thematicity1 {R,SP,T}
@attribute thematicity2_comp {0,R(R),R(SP),R(T),SP(R),SP(SP),SP(T),T(R),T(SP),T(T)}
@attribute thematicity3_comp {0,R(R(R)),R(R(T)),R(SP(R)),R(T(T)),SP(R(R)),T(R(R)),T(T(T))}
@attribute thematicity4_comp {0,R(R(R(R))),R(T(R(R))),T(T(R(R)))}
@attribute focalization {0,FOC}
@attribute perspective {0,B}
@attribute detemphasis {0,CONTRAST,INSISTENCE,REPETITION,STRONGFEELINGS}
@attribute emphasis {0,E}
@attribute pos {cc,cd,dt,in,jj,nn,np,pp,rb,uh,vb,vh,vv,wp}
@attribute SSynt {adv, agent, analyt_fut, analyt_pass, analyt_perf, analyt_progr, appos, attr, aux_refl_dir, aux_refl_lex, aux_refl_pass, compar, compar_conj, compl_adnom, compl2, coord, coord_conj, copul, det, dobj, dobj_clitic, elect, iobj, iobj_clitic, juxtapos, modal, modif, obl_compl, obl_obj, prepos, quant, quasi_coord, relat, restr, root, sequent, sub_conj, subj}
@attribute deepPOS {a, adv, n, v}
@attribute sPos {adjective, adverb, auxiliary, conjunction, copula, determiner, interjection, interrogative_pronoun, noun, number, preposition, pronoun, proper_noun, relative_pronoun, verb}

@data
no_gesture,R,R(R),0,0,0,0,0,0,dt,det,a,determiner
no_gesture,T,0,0,0,0,0,0,0,nn,prepos,n,noun
no_gesture,R,R(R),0,0,0,0,0,0,vv,prepos,v,auxiliary
no_gesture,T,0,0,0,0,0,CONTRAST,E,pp,subj,n,pronoun
beat,R,0,0,0,0,0,0,0,vh,coord_conj,v,auxiliary
no_gesture,T,R(T),R(R(T)),0,0,0,0,0,in,adv,adv,preposition
no_gesture,SP,0,0,0,0,0,0,0,np,prepos,n,proper_noun
no_gesture,SP,0,0,0,0,0,0,0,dt,det,a,determiner
no_gesture,R,0,0,0,0,0,0,0,in,obl_compl,adv,preposition
no_gesture,T,0,0,0,0,0,0,0,in,attr,adv,preposition
beat,R,R(R),T(R(R)),0,0,0,0,0,in,obl_compl,adv,preposition
beat,R,R(R),R(R(R)),0,0,0,INSISTENCE,E,jj,modif,a,adjective
beat,T,R(T),0,0,0,0,0,0,dt,det,a,determiner
beat,R,R(R),0,0,0,0,0,0,vv,sub_conj,v,verb
no_gesture,R,R(R),0,0,0,0,0,0,in,adv,adv,preposition
no_gesture,R,0,0,0,0,0,0,0,pp,subj,n,relative_pronoun
beat,R,0,0,0,0,0,STRONGFEELINGS,E,nn,prepos,n,noun
no_gesture,SP,R(SP),0,0,0,0,0,0,in,obl_obj,adv,preposition
no_gesture,SP,0,0,0,0,0,0,0,cc,coord,adv,conjunction
no_gesture,R,T(R),0,0,0,B,0,0,dt,det,a,determiner
beat,T,R(T),0,0,0,B,0,0,vh,root,v,auxiliary
beat,R,R(R),0,0,0,0,0,0,cc,coord,adv,conjunction
beat,SP,0,0,0,0,0,0,0,nn,appos,n,noun
beat,R,R(R),0,0,0,0,0,0,jj,copul,a,adjective
no_gesture,R,R(R),0,0,0,0,0,0,nn,prepos,n,noun
no_gesture,SP,0,0,0,0,0,0,0,nn,dobj,n,noun
beat,R,R(R),0,0,0,0,0,0,in,obl_obj,adv,preposition
no_gesture,R,R(R),0,0,0,0,0,0,dt,det,a,determiner
no_gesture,R,R(R),0,0,0,0,0,0,vv,relat,v,verb
beat,R,0,0,0,0,0,0,0,nn,dobj,n,noun
beat,R,R(R),0,0,0,0,0,0,dt,det,a,determiner
beat,R,0,0,0,0,0,0,0,jj,modif,a,adjective
no_gesture,R,0,0,0,0,0,0,0,rb,adv,adv,adverb
beat,R,R(R),0,0,0,0,0,0,pp,iobj_clitic,n,pronoun
beat,T,R(T),0,0,0,B,0,0,jj,modif,a,adjective
no_gesture,SP,0,0,0,0,0,0,0,in,agent,adv,preposition
no_gesture,R,0,0,0,0,0,0,0,nn,dobj,n,noun
beat,R,SP(R),0,0,0,0,0,0,pp,prepos,n,pronoun
beat,T,R(T),R(R(T)),0,0,0,0,0,vv,sub_conj,v,verb
beat,T,R(T),0,0,0,0,0,0,vv,prepos,v,verb
beat,R,R(R),0,0,0,0,0,0,pp,aux_refl_dir,n,pronoun
no_gesture,R,R(R),0,0,0,0,0,0,nn,prepos,n,noun
no_gesture,R,R(R),0,0,0,0,0,0,dt,det,a,determiner
no_gesture,SP,0,0,0,0,0,0,0,in,obl_compl,adv,preposition
no_gesture,R,R(R),0,0,0,0,0,0,vv,sub_conj,v,verb
beat,T,R(T),0,0,0,0,0,0,jj,modif,a,adjective
beat,R,R(R),R(R(R)),0,0,0,0,0,nn,dobj,n,noun
no_gesture,T,0,0,0,0,0,0,0,dt,det,a,determiner
no_gesture,R,0,0,0,0,0,0,0,in,obl_compl,adv,preposition
no_gesture,R,R(R),0,0,0,0,0,0,nn,prepos,n,noun
no_gesture,R,R(R),0,0,0,0,0,0,cc,coord,adv,conjunction
beat,R,R(R),R(R(R)),0,0,0,0,0,pp,aux_refl_pass,n,pronoun
no_gesture,R,SP(R),0,0,0,0,0,0,in,adv,adv,preposition
no_gesture,T,T(T),0,0,0,0,0,0,pp,subj,n,pronoun
no_gesture,R,0,0,0,0,0,0,0,vb,root,v,copula
no_gesture,R,T(R),0,0,0,0,0,0,nn,dobj,n,noun
beat,R,0,0,0,0,0,0,0,in,obl_compl,adv,preposition
beat,R,R(R),R(R(R)),R(R(R(R))),0,0,0,0,in,adv,adv,preposition
beat,R,R(R),R(R(R)),0,0,0,0,0,vb,coord_conj,v,copula
no_gesture,R,0,0,0,0,0,0,0,nn,dobj,n,noun
no_gesture,R,T(R),0,0,0,0,0,0,dt,det,a,determiner
beat,R,0,0,0,0,0,STRONGFEELINGS,E,cd,quant,a,number
beat,R,R(R),0,0,0,0,0,0,dt,det,a,determiner
no_gesture,R,0,0,0,0,0,0,0,rb,adv,adv,adverb
beat,R,R(R),0,0,0,0,0,0,cd,prepos,a,number
beat,R,0,0,0,0,B,0,0,in,adv,adv,preposition
no_gesture,R,0,0,0,0,0,0,0,in,iobj,adv,preposition
beat,R,R(R),0,0,0,0,0,0,in,adv,adv,preposition
beat,R,0,0,0,0,0,0,0,nn,prepos,n,noun
no_gesture,R,0,0,0,0,0,REPETITION,E,vh,root,v,auxiliary
no_gesture,SP,R(SP),0,0,0,B,0,0,in,iobj,adv,preposition
no_gesture,R,0,0,0,0,0,0,0,in,attr,adv,preposition
beat,R,R(R),0,0,0,0,0,0,in,adv,adv,preposition
beat,T,R(T),0,0,0,0,0,0,in,attr,adv,preposition
beat,T,0,0,0,0,0,0,0,in,obl_compl,adv,preposition
beat,T,SP(T),0,0,0,0,0,0,in,adv,adv,conjunction
beat,R,0,0,0,0,0,REPETITION,E,vv,analyt_perf,v,verb
no_gesture,SP,R(SP),0,0,0,0,0,0,cc,coord,adv,conjunction
beat,SP,0,0,0,0,0,0,0,in,adv,adv,preposition
beat,R,0,0,0,0,0,0,0,vb,root,v,copula
no_gesture,R,R(R),0,0,0,0,0,0,nn,prepos,n,noun
no_gesture,T,R(T),0,0,0,0,0,0,vv,root,v,verb
no_gesture,R,R(R),0,0,0,B,0,0,in,obl_obj,adv,preposition
beat,R,R(R),0,0,0,0,0,0,vv,sub_conj,v,verb
beat,T,R(T),R(R(T)),0,0,0,0,0,vv,prepos,v,verb
no_gesture,R,0,0,0,0,0,0,0,in,iobj,adv,preposition
beat,R,SP(R),0,0,0,0,0,0,np,prepos,n,proper_noun
beat,R,0,0,0,0,0,0,0,jj,modif,n,noun
beat,R,R(R),0,0,0,0,0,0,vv,root,v,verb
beat,R,R(R),0,0,0,B,INSISTENCE,E,jj,modif,a,adjective
no_gesture,R,R(R),0,0,FOC,B,0,0,pp,prepos,n,pronoun
no_gesture,R,0,0,0,0,0,0,0,dt,det,a,determiner
beat,R,0,0,0,0,0,0,0,jj,modif,a,adjective
no_gesture,R,R(R),0,0,0,0,0,0,vv,prepos,v,verb
no_gesture,R,R(R),0,0,0,0,0,0,jj,modif,a,adjective
beat,R,R(R),0,0,0,0,0,0,vb,root,v,copula
beat,R,T(R),0,0,0,0,0,0,nn,subj,n,noun
no_gesture,R,T(R),0,0,0,B,0,0,jj,modif,a,adjective
beat,R,R(R),0,0,0,0,0,0,vv,relat,v,verb
beat,R,T(R),0,0,0,0,0,0,cd,quant,a,number
no_gesture,R,R(R),0,0,0,0,0,0,np,prepos,n,proper_noun
beat,R,SP(R),0,0,0,0,0,0,dt,det,a,determiner
beat,R,T(R),0,0,0,0,0,0,pp,subj,n,relative_pronoun
no_gesture,R,R(R),0,0,0,0,0,0,vv,relat,v,verb
beat,R,0,0,0,0,0,0,0,jj,modif,a,adjective
beat,R,0,0,0,0,0,0,0,nn,subj,n,noun
beat,SP,0,0,0,0,0,0,0,np,root,n,proper_noun
beat,R,R(R),R(R(R)),0,0,0,0,0,jj,modif,a,adjective
no_gesture,T,R(T),0,0,0,0,0,0,nn,copul,n,noun
no_gesture,R,0,0,0,0,0,0,0,rb,adv,adv,adverb
beat,R,R(R),0,0,0,0,0,0,nn,prepos,n,noun
no_gesture,R,0,0,0,0,0,0,0,vv,prepos,v,verb
no_gesture,R,SP(R),0,0,0,0,0,0,cc,coord,adv,conjunction
beat,R,R(R),R(R(R)),0,0,0,0,0,nn,subj,n,noun
no_gesture,R,T(R),0,0,0,0,0,0,pp,iobj_clitic,n,pronoun
no_gesture,R,R(R),0,0,0,B,0,0,np,appos,n,proper_noun
beat,R,0,0,0,0,0,0,0,rb,restr,adv,adverb
no_gesture,R,R(R),0,0,0,0,0,0,pp,obl_obj,n,relative_pronoun
beat,R,R(R),0,0,0,B,STRONGFEELINGS,E,vb,prepos,v,copula
no_gesture,R,0,0,0,0,0,0,0,dt,det,a,determiner
