@RELATION MSCorpus

@ATTRIBUTE attribute_3 {Focalization,NA,foc}
@ATTRIBUTE attribute_4 {B,NA,Perspective}
@ATTRIBUTE attribute_5 {Contrast,Insistence,NA,Repetition,StrongFeelings,detEmphasis}
@ATTRIBUTE attribute_6 {E,Emphasis,NA}
@ATTRIBUTE attribute_7 {NA,NoImage}
@ATTRIBUTE attribute_8 {NA,Rh,S,SP,Th,Them_level1,_,question}
@ATTRIBUTE attribute_9 {NA,Rh,SP,Th,Them_level2,_}
@ATTRIBUTE attribute_10 {NA,Rh,SP,Th,Them_level3,_}
@ATTRIBUTE attribute_11 {NA,Rh,SP,Th,Them_level4}
@ATTRIBUTE attribute_12 {NA,SAdj,SAdv,SN,SPrep,SPron,SV,Syntagmas_level1,_,conj,interjection}
@ATTRIBUTE attribute_13 {NA,SAdj,SAdv,SN,SPrep,SPron,SV,Syntagmas_level2,_,conj}
@ATTRIBUTE attribute_14 {NA,SAdj,SAdv,SN,SPrep,SPron,SV,Syntagmas_level3,conj}
@ATTRIBUTE attribute_15 {NA,SAdj,SAdv,SN,SPrep,SPron,SV,Syntagmas_level4,conj}
@ATTRIBUTE attribute_16 {NA,SAdj,SAdv,SN,SPrep,SPron,SV,Syntagmas_level5,conj}
@ATTRIBUTE attribute_17 {GesturePhases,NA,preparation,relax,stroke}
@ATTRIBUTE attribute_18 {NA,Rh,Rh(Rh),Rh(SP),Rh(Th),S,SP,SP(Rh),SP(SP),SP(Th),Th,Th(Rh),Th(SP),Th(Th),Them2,_,question}
@ATTRIBUTE attribute_19 {NA,Rh,Rh(Rh(Rh)),Rh(Rh(Th)),Rh(Rh),Rh(SP(Rh)),Rh(SP),Rh(Th(Rh)),Rh(Th(Th)),Rh(Th),S,SP,SP(Rh(Rh)),SP(Rh),SP(SP),SP(Th),Th,Th(Rh(Rh)),Th(Rh),Th(SP(Rh)),Th(SP),Th(Th(Rh)),Th(Th),_,question,them3}
@ATTRIBUTE attribute_20 {NA,Rh,Rh(Rh(Rh(Rh))),Rh(Rh(Rh)),Rh(Rh(Th)),Rh(Rh),Rh(SP(Rh)),Rh(SP),Rh(Th(Rh(Rh))),Rh(Th(Rh)),Rh(Th(Th)),Rh(Th),S,SP,SP(Rh(Rh(Rh))),SP(Rh(Rh)),SP(Rh),SP(SP),SP(Th),Th,Th(Rh(Rh(Rh))),Th(Rh(Rh)),Th(Rh),Th(SP(Rh)),Th(SP),Th(Th(Rh(Rh))),Th(Th(Rh)),Th(Th),_,question,them4}
@ATTRIBUTE attribute_25 {NA,SimpleGestures,_,beat,semantic}

@DATA
Focalization,Perspective,detEmphasis,Emphasis,NoImage,Them_level1,Them_level2,Them_level3,Them_level4,Syntagmas_level1,Syntagmas_level2,Syntagmas_level3,Syntagmas_level4,Syntagmas_level5,GesturePhases,Them2,them3,them4,SimpleGestures
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,NA,_,_,_,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SAdv,NA,NA,NA,NA,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SPrep,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SPrep,SN,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SPrep,SN,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,SV,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SN,SV,SN,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SN,SV,SN,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,preparation,_,_,_,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,stroke,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,stroke,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,stroke,Rh,Rh,Rh,beat
